# rok PKB %PKB PKB/os
 1981 521804000000 -6 13081.446
 1982 469624000000 -10 12334.099
 1983 446864000000 -4.846 12842.259
 1984 471889000000 5.6 12685.469
 1985 470162000000 -0.366 13077.251
 1986 488318000000 3.862 13451.023
 1987 505382000000 3.494 13690.647
 1988 517014000000 2.302 14126.962
 1989 533999000000 3.285 14650.84
 1990 554356000000 3.812 13471.296
 1991 514604000000.0001 -7.171 12494.857
 1992 478553000000 -7.005 12715.656
 1993 488281000000 2.033 13221.158
 1994 509216000000 4.287 13884.931
 1995 535893000000 5.239 14819.198
 1996 571947000000 6.728 15731.819
 1997 607631000000 6.239 16835.615
 1998 650691000000 7.086 17667.981
 1999 683106000000 4.982 18468.857
 2000 714011000000 4.524 19357.744
 2001 744378000000 4.253 19696.413
 2002 753350000000 1.205 19989.977
 2003 764224000000 1.443 20777.02
 2004 793777000000 3.867 21900.303
 2005 836202000000 5.345 22702.424
 2006 866448000000 3.617 24131.503
 2007 920406000000 6.227 25782.877
 2008 982858000000 6.785 27071.362
 2009 1032041000000 5.004 27540.976
 2010 1049621000000 1.703 28311.456
